date, pm10, o3, no2, so2, co
2018/1/22, 47, 19, , 8, 
2018/1/23, 58, 23, , 3, 
2018/1/24, 18, 28, , 4, 
2018/1/25, 19, 13, , 13, 
2018/1/26, 85, 10, , 10, 
2018/1/27, 74, 22, , 5, 
2018/1/28, 26, 20, , 3, 
2018/1/29, 9, 26, , 2, 
2018/1/30, 17, 27, , 3, 
2018/1/31, 17, 27, , 1, 
2018/2/1, 17, 19, , 3, 
2018/2/2, 33, 17, , 11, 
2018/2/3, 68, 12, , 6, 
2018/2/4, 46, 20, , 9, 
2018/2/5, 40, 20, , 16, 
2018/2/6, 80, 13, , 16, 
2018/2/7, 84, 6, , 11, 
2018/2/8, 84, 11, , 18, 
2018/2/9, 95, 5, , 24, 
2018/2/10, 142, 22, , 15, 
2018/2/11, 78, 25, , 8, 
2018/2/12, 55, 15, , 11, 
2018/2/13, 71, 20, , 7, 
2018/2/14, 52, 20, , 10, 
2018/2/15, 62, 29, , 7, 
2018/2/16, 40, 25, , 11, 
2018/2/17, 64, 18, , 14, 
2018/2/18, 74, 30, , 9, 
2018/2/19, 49, 24, , 13, 
2018/2/20, 79, 23, , 12, 
2018/2/21, 65, 22, , 7, 
2018/2/22, 48, 22, , 7, 
2018/2/23, 51, 25, , 10, 
2018/2/24, 52, 28, , 6, 
2018/2/25, 42, 26, , 10, 
2018/2/26, 60, 28, , 6, 
2018/2/27, 45, 26, , 8, 
2018/2/28, 50, 30, , 16, 
2018/3/1, 90, 27, , 23, 
2018/3/2, 109, 38, , 23, 
2018/3/3, 103, 38, , 27, 
2018/3/4, 113, 34, , 27, 
2018/3/5, 157, 14, , 28, 
2018/3/6, 144, 27, , 5, 
2018/3/7, 37, 27, , 4, 
2018/3/8, 27, 32, , 3, 
2018/3/9, 18, 30, , 5, 
2018/3/10, 36, 34, , 3, 
2018/3/11, 20, 31, , 1, 
2018/3/12, 12, 27, , 2, 
2018/3/13, 16, 20, , 4, 
2018/3/14, 29, 12, , 6, 
2018/3/15, 54, 12, , 5, 
2018/3/16, 47, 29, , 3, 
2018/3/17, 26, 31, , 4, 
2018/3/18, 25, 29, , 6, 
2018/3/19, 36, 26, , 10, 
2018/3/20, 55, 28, , 9, 
2018/3/21, 53, 32, , 8, 
2018/3/22, 49, 19, , 10, 
2018/3/23, 64, 37, , 11, 
2018/3/24, 72, 35, , 3, 
2018/3/25, 29, 27, , 6, 
2018/3/26, 46, 24, , 4, 
2018/3/27, 44, 31, , 4, 
2018/3/28, 42, 31, , 4, 
2018/3/29, 28, 32, , 4, 
2018/3/30, 34, 31, , 3, 
2018/3/31, 20, 27, , 2, 
2017/10/1, 30, 39, 6, 1, 
2017/10/2, 30, 39, 7, 2, 
2017/10/3, 21, 27, 6, 3, 
2017/10/4, 12, 26, 6, 2, 
2017/10/5, 12, 24, 7, 2, 
2017/10/6, 10, 23, 6, 2, 
2017/10/7, 13, 22, 3, 2, 
2017/10/8, 8, 23, 7, 4, 
2017/10/9, 14, 22, 6, 3, 
2017/10/10, 9, 20, 6, 2, 
2017/10/11, 8, 25, 5, 1, 
2017/10/12, 19, 20, 11, 3, 
2017/10/13, 27, 20, 9, 3, 
2017/10/14, 29, 22, 7, 2, 
2017/10/15, 22, 24, 10, 1, 
2017/10/16, 21, 29, 12, 1, 
2017/10/17, 33, 26, 13, 1, 
2017/10/18, 39, 17, 16, 1, 
2017/10/19, 59, 13, 16, 3, 
2017/10/20, 57, 8, 14, 3, 
2017/10/21, 54, 14, 10, 2, 
2017/10/22, 31, 9, 13, 3, 
2017/10/23, 33, 13, 11, 3, 
2017/10/24, 34, 15, 7, 2, 
2017/10/25, 16, 14, 9, 4, 
2017/10/26, 19, 18, 9, 2, 
2017/10/27, 15, 20, 4, 2, 
2017/10/28, 11, 28, 2, 1, 
2017/10/29, 7, 24, 5, 2, 
2017/10/30, 14, 22, 9, 4, 
2017/10/31, 17, 23, 3, 3, 
2017/11/1, 9, 20, 8, 1, 
2017/11/2, 19, 13, 14, 4, 
2017/11/3, 38, 29, 7, 2, 
2017/11/4, 22, 31, 4, 2, 
2017/11/5, 14, 25, 14, 5, 
2017/11/6, 39, 13, 12, 5, 
2017/11/7, 52, 11, 10, 4, 
2017/11/8, 49, 7, 13, 6, 
2017/11/9, 65, 16, 8, 2, 
2017/11/10, 14, 26, 4, 2, 
2017/11/11, 10, 25, 5, 2, 
2017/11/12, 12, 16, 12, 3, 
2017/11/13, 27, 12, 13, 4, 
2017/11/14, 42, 15, 13, 5, 
2017/11/15, 56, 11, 16, 8, 
2017/11/16, 70, 4, 15, 6, 
2017/11/17, 63, 19, 10, 6, 
2017/11/18, 30, 23, 4, 4, 
2017/11/19, 12, 24, 8, 4, 
2017/11/20, 14, 13, 11, 4, 
2017/11/21, 18, 9, 10, 4, 
2017/11/22, 20, 15, 16, 5, 
2017/11/23, 49, 19, 14, 4, 
2017/11/24, 36, 27, 8, 3, 
2017/11/25, 30, 17, 9, 5, 
2017/11/26, 33, 14, 14, 6, 
2017/11/27, 36, 26, 6, 1, 
2017/11/28, 10, 22, 9, 3, 
2017/11/29, 22, 9, 15, 5, 
2017/11/30, 42, 13, 15, 8, 
2017/12/1, 47, 4, 17, 15, 
2017/12/2, 77, 8, 14, 12, 
2017/12/3, 62, 18, 8, 5, 
2017/12/4, 21, 21, 8, 5, 
2017/12/5, 16, 17, 7, 4, 
2017/12/6, 18, 28, 7, 3, 
2017/12/7, 15, 29, 6, 1, 
2017/12/8, 13, 19, 9, 5, 
2017/12/9, 26, 28, 3, 1, 
2017/12/10, 15, 29, 1, 1, 
2017/12/11, 10, 30, 5, 1, 
2017/12/12, 13, 22, 9, 4, 
2017/12/13, 20, 27, 2, 1, 
2017/12/14, 9, 27, 8, 4, 
2017/12/15, 19, 10, 18, 10, 
2017/12/16, 66, 18, 10, 10, 
2017/12/17, 42, 4, 17, 11, 
2017/12/18, 74, 10, 15, 11, 
2017/12/19, 52, 8, 16, 9, 
2017/12/20, 55, 14, 11, 5, 
2017/12/21, 23, 14, 11, 4, 
2017/12/22, 26, 22, 5, 4, 
2017/12/23, 17, 22, 3, 3, 
2017/12/24, 9, 25, 7, 4, 
2017/12/25, 19, 24, 6, 3, 
2017/12/26, 26, 31, 5, 2, 
2017/12/27, 20, 28, 6, 3, 
2017/12/28, 12, 13, 12, 5, 
2017/12/29, 32, 27, 6, 3, 
2017/12/30, 19, , , , 
2017/12/31, 13, 25, 5, 2, 
2017/7/1, 9, 30, 3, 1, 
2017/7/2, 6, 31, 5, 1, 
2017/7/3, 12, 36, 7, 1, 
2017/7/4, 15, 40, 6, 1, 
2017/7/5, 15, 35, 6, 2, 
2017/7/6, 19, 32, 7, , 
2017/7/7, 14, 41, 5, 1, 
2017/7/8, 12, 45, 4, , 
2017/7/9, 12, 45, 4, 1, 
2017/7/10, 16, 35, 5, 1, 
2017/7/11, 8, 39, 4, , 
2017/7/12, 7, 27, 4, , 
2017/7/13, 12, 36, 5, 1, 
2017/7/14, 16, 34, 7, 1, 
2017/7/15, 15, 40, 5, 2, 
2017/7/16, 13, 37, 6, 1, 
2017/7/17, 11, 42, 7, 1, 
2017/7/18, 14, 48, 5, 1, 
2017/7/19, 17, 52, 7, 2, 
2017/7/20, 21, 38, 8, , 
2017/7/21, 15, 43, 4, 1, 
2017/7/22, 13, 41, 3, , 
2017/7/23, 10, 35, 5, 1, 
