date,pm10,o3,no2,so2,co,city,pm25
2016-10-6,,, 23,, 5,wroclaw, 43
2016-10-7,,, 14,, 3,wroclaw, 95
2016-10-8,,, 12,, 2,wroclaw, 68
2016-10-9,,, 22,, 3,wroclaw, 48
2016-10-10,,, 17,, 4,wroclaw, 59
2016-10-11,,, 14,, 3,wroclaw, 77
2016-10-12,,, 18,, 3,wroclaw, 53
2016-10-13,,, 20,, 4,wroclaw, 72
2016-10-14,,, 19,, 4,wroclaw, 89
2016-10-15,,, 11,, 3,wroclaw, 81
2016-10-16,,, 18,, 4,wroclaw, 82
2016-10-17,,, 14,, 5,wroclaw, 92
2016-10-18,,, 19,, 6,wroclaw, 99
2016-10-19,,, 18,, 5,wroclaw, 84
2016-10-20,,, 19,, 5,wroclaw, 84
2016-10-21,,, 20,, 6,wroclaw, 106
2016-10-22,,, 18,, 5,wroclaw, 117
2016-10-23,,, 22,, 6,wroclaw, 101
2016-10-24,,, 22,, 7,wroclaw, 113
2016-10-25,,, 24,, 5,wroclaw, 104
2016-10-26,,, 23,, 6,wroclaw, 97
2016-10-27,,, 19,, 4,wroclaw, 108
2016-10-28,,, 14,, 1,wroclaw, 73
2016-10-29,,, 11,, 1,wroclaw, 26
2016-10-30,,, 18,, 3,wroclaw, 30
2016-10-31,,, 16,, 3,wroclaw, 56
2016-11-1,,, 14,, 1,wroclaw, 50
2016-11-2,,, 19,, 3,wroclaw, 20
2016-11-3,,, 22,, 4,wroclaw, 44
2016-11-4,,, 18,, 4,wroclaw, 82
2016-11-5,,, 19,, 4,wroclaw, 92
2016-11-6,,, 20,, 4,wroclaw, 77
2016-11-7,,, 24,, 6,wroclaw, 60
2016-11-8,,, 26,, 8,wroclaw, 95
2016-11-9,,, 23,, 8,wroclaw, 129
2016-11-10,,, 16,, 4,wroclaw, 161
2016-11-11,,, 18,, 3,wroclaw, 141
2016-11-12,,, 19,, 6,wroclaw, 94
2016-11-13,,, 21,, 5,wroclaw, 141
2016-11-14,,, 23,, 5,wroclaw, 106
2016-11-15,,, 19,, 5,wroclaw, 103
2016-11-16,,, 17,, 5,wroclaw, 53
2016-11-17,,, 21,, 4,wroclaw, 53
2016-11-18,,, 27,, 6,wroclaw, 68
2016-11-19,,, 18,, 5,wroclaw, 77
2016-11-20,,, 25,, 7,wroclaw, 77
2016-11-21,,, 26,, 9,wroclaw, 90
2016-11-22,,, 31,, 14,wroclaw, 97
2016-11-23,,, 21,, 11,wroclaw, 143
2016-11-24,,, 21,, 6,wroclaw, 137
2016-11-25,,, 19,, 7,wroclaw, 100
2016-11-26,,, 13,, 3,wroclaw, 110
2016-11-27,,, 19,, 3,wroclaw, 41
2016-11-28,,, 19,, 4,wroclaw, 36
2016-11-29,,, 21,, 4,wroclaw, 59
2016-11-30,,, 15,, 4,wroclaw, 53
2016-12-1,,, 17,, 4,wroclaw, 27
2016-12-2,,, 19,, 5,wroclaw, 29
2016-12-3,,, 22,, 6,wroclaw, 63
2016-12-4,,, 28,, 10,wroclaw, 104
2016-12-5,,, 23,, 6,wroclaw, 145
2016-12-6,,, 24,, 7,wroclaw, 96
2016-12-7,,, 28,, 6,wroclaw, 103
2016-12-8,,, 20,, 5,wroclaw, 76
2016-12-9,,, 17,, 4,wroclaw, 57
2016-12-10,,, 13,, 4,wroclaw, 43
2016-12-11,,, 25,, 6,wroclaw, 42
2016-12-12,,, 27,, 10,wroclaw, 60
2016-12-13,,, 23,, 6,wroclaw, 131
2016-12-14,,, 24,, 6,wroclaw, 75
2016-12-15,,, 22,, 10,wroclaw, 71
2016-12-16,,, 25,, 12,wroclaw, 138
2016-12-17,,, 20,, 8,wroclaw, 157
2016-12-18,,, 18,, 7,wroclaw, 111
2016-12-19,,, 20,, 8,wroclaw, 102
2016-12-20,,, 31,, 11,wroclaw, 116
2016-12-21,,, 23,, 12,wroclaw, 129
2016-12-22,,, 22,, 10,wroclaw, 142
2016-12-23,,, 16,, 7,wroclaw, 112
2016-12-24,,, 8,, 4,wroclaw, 69
2016-12-25,,, 6,, 4,wroclaw, 26
2016-12-26,,, 10,, 3,wroclaw, 17
2016-12-27,,, 22,, 5,wroclaw, 31
2016-12-28,,, 31,, 11,wroclaw, 50
2016-12-29,,, 31,, 13,wroclaw, 123
2016-12-30,,, 31,, 15,wroclaw, 141
2016-12-31,,, 28,, 12,wroclaw, 154
2017-1-1,,, 19,, 7,wroclaw, 141
2016-7-1,,, 15,, 3,wroclaw, 61
2016-7-2,,, 10,, 2,wroclaw, 49
2016-7-3,,, 21,, 3,wroclaw, 43
2016-7-4,,, 25,, 4,wroclaw, 53
2016-7-5,,, 13,, 2,wroclaw, 57
2016-7-6,,, 17,, 3,wroclaw, 44
2016-7-7,,, 24,, 3,wroclaw, 52
2016-7-8,,, 12,, 2,wroclaw, 56
2016-7-9,,, 16,, 3,wroclaw, 46
2016-7-10,,, 29,, 4,wroclaw, 50
2016-7-11,,, 25,, 5,wroclaw, 59
2016-7-12,,, 23,, 4,wroclaw, 67
2016-7-13,,, 15,, 3,wroclaw, 65
2016-7-14,,, 14,, 3,wroclaw, 50
2016-7-15,,, 13,, 3,wroclaw, 49
2016-7-16,,, 11,, 3,wroclaw, 45
2016-7-17,,, 18,, 4,wroclaw, 51
2016-7-18,,, 18,, 3,wroclaw, 58
2016-7-19,,, 21,, 4,wroclaw, 54
2016-7-20,,, 29,, 5,wroclaw, 57
2016-7-21,,, 30,, 4,wroclaw, 70
2016-7-22,,, 19,, 3,wroclaw, 66
2016-7-23,,, 17,, 4,wroclaw, 63
2016-7-24,,, 27,, 5,wroclaw, 76
2016-7-25,,, 26,, 5,wroclaw, 82
2016-7-26,,, 23,, 4,wroclaw, 77
2016-7-27,,, 24,, 4,wroclaw, 75
2016-7-28,,, 27,, 5,wroclaw, 72
2016-7-29,,, 19,, 4,wroclaw, 73
2016-7-30,,, 18,, 3,wroclaw, 50
2016-7-31,,, 17,, 3,wroclaw, 51
2016-8-1,,, 23,, 3,wroclaw, 49
2016-8-2,,, 21,, 4,wroclaw, 56
2016-8-3,,, 25,, 4,wroclaw, 54
2016-8-4,,, 19,, 4,wroclaw, 53
2016-8-5,,, 8,, 2,wroclaw, 63
2016-8-6,,, 15,, 3,wroclaw, 53
2016-8-7,,, 29,, 4,wroclaw, 48
2016-8-8,,, 19,, 3,wroclaw, 59
2016-8-9,,, 18,, 3,wroclaw, 59
2016-8-10,,, 20,, 3,wroclaw, 56
2016-8-11,,, 23,, 4,wroclaw, 49
2016-8-12,,, 16,, 4,wroclaw, 62
2016-8-16,,, 22,, 4,wroclaw, 47
2016-8-17,,, 24,, 3,wroclaw, 50
2016-8-18,,, 37,, 4,wroclaw, 51
2016-8-19,,, 24,, 3,wroclaw, 65
2016-8-20,,, 16,, 3,wroclaw, 53
2016-8-21,,, 22,, 3,wroclaw, 38
2016-8-22,,, 27,, 4,wroclaw, 39
2016-8-23,,, 26,, 4,wroclaw, 55
2016-8-24,,, 26,, 3,wroclaw, 56
2016-8-25,,, 25,, 3,wroclaw, 57
2016-8-26,,, 28,, 3,wroclaw, 52
2016-8-27,,, 22,, 3,wroclaw, 50
2016-8-28,,, 25,, 3,wroclaw, 70
2016-8-29,,, 21,, 2,wroclaw, 57
2016-8-30,,, 29,, 3,wroclaw, 33
2016-8-31,,, 30,, 3,wroclaw, 48
2016-9-1,,, 30,, 3,wroclaw, 57
2016-9-2,,, 28,, 4,wroclaw, 63
2016-9-3,,, 18,, 2,wroclaw, 64
2016-9-4,,, 17,, 2,wroclaw, 43
2016-9-5,,, 20,, 2,wroclaw, 37
2016-9-6,,, 29,, 4,wroclaw, 45
2016-9-7,,, 27,, 4,wroclaw, 68
2016-9-8,,, 39,, 5,wroclaw, 74
2016-9-9,,, 28,, 3,wroclaw, 77
2016-9-10,,, 32,, 4,wroclaw, 78
2016-9-11,,, 41,, 5,wroclaw, 82
2016-9-12,,, 39,, 4,wroclaw, 97
2016-9-13,,, 30,, 3,wroclaw, 92
2016-9-14,,, 31,, 3,wroclaw, 58
2016-9-15,,, 33,, 5,wroclaw, 58
2016-9-16,,, 22,, 4,wroclaw, 93
2016-9-17,,, 12,, 2,wroclaw, 86
2016-9-18,,, 19,, 3,wroclaw, 62
2016-9-19,,, 24,, 3,wroclaw, 67
2016-9-20,,, 25,, 3,wroclaw, 55
2016-9-21,,, 29,, 5,wroclaw, 66
2016-9-22,,, 32,, 5,wroclaw, 70
2016-9-23,,, 28,, 5,wroclaw, 81
2016-9-24,,, 21,, 4,wroclaw, 86
2016-9-25,,, 25,, 3,wroclaw, 88
2016-9-26,,, 31,, 7,wroclaw, 70
2016-9-27,,, 25,, 4,wroclaw, 109
2016-9-28,,, 27,, 3,wroclaw, 88
2016-9-29,,, 30,, 4,wroclaw, 47
2016-9-30,,, 26,, 4,wroclaw, 51
2016-4-1,,, 21,, 5,wroclaw, 81
2016-4-2,,, 21,, 5,wroclaw, 107
2016-4-3,,, 37,, 8,wroclaw, 108
2016-4-4,,, 40,, 10,wroclaw, 117
2016-4-5,,, 25,, 6,wroclaw, 137
2016-4-6,,, 25,, 5,wroclaw, 99
2016-4-7,,, 29,, 5,wroclaw, 75
2016-4-8,,, 25,, 5,wroclaw, 75
